"","Age","beta_hat_0","bn_beta_hat_1","beta_check_0","bn_beta_check_1","u_t","local_n"
"554",58.825,0.49695724375,-0.00843837500000007,0.496873764285714,-0.0107138799180297,6.6983869926596,15721
"555",58.85,0.4969188875,-0.00843837500000009,0.496839328571429,-0.0107138799180297,6.69838699265959,15721
"556",58.875,0.49688005,-0.00844140000000005,0.496804892857143,-0.0107138799180297,6.69813999734073,15721
"557",58.9,0.49684168,-0.00844140000000003,0.496770457142857,-0.0107138799180297,6.69813999734073,15721
"558",58.925,0.49680331,-0.00844140000000002,0.496736021428571,-0.0107138799180296,6.69813999734075,15721
"559",58.95,0.49676494,-0.00844139999999996,0.496701585714286,-0.0107138799180297,6.69813999734074,15721
"560",58.975,0.49672657,-0.00844139999999999,0.4966798,-0.0107383256096078,6.69813999734074,15721
"561",59,0.496708142857143,-0.00847392857142846,0.496645285714286,-0.0107383256096078,6.69568642599026,15721
"562",59.025,0.496669625,-0.00847392857142855,0.496610771428571,-0.0107383256096078,6.69568642599027,15721
"563",59.05,0.496631107142857,-0.00847392857142851,0.496576257142857,-0.0107383256096078,6.69568642599025,15721
"564",59.075,0.496592589285714,-0.00847392857142851,0.496541742857143,-0.0107383256096077,6.69568642599027,15721
"565",59.1,0.496554071428571,-0.00847392857142854,0.496507228571428,-0.0107383256096078,6.69568642599027,15721
"566",59.125,0.49651775,-0.00851766666666659,0.496472714285714,-0.0107383256096079,6.69193282368145,15721
"567",59.15,0.496479033333333,-0.00851766666666659,0.496439208333333,-0.0107403627505728,6.69193282368145,15721
"568",59.175,0.496440316666667,-0.00851766666666656,0.4964046875,-0.0107403627505728,6.69193282368144,15721
"569",59.2,0.4964016,-0.0085176666666666,0.496370166666667,-0.0107403627505727,6.69193282368144,15721
"570",59.225,0.496357166666667,-0.00854333333333332,0.496335645833333,-0.0107403627505727,6.69014101986827,15721
"571",59.25,0.496318333333333,-0.00854333333333349,0.496301125,-0.0107403627505727,6.69014101986827,15721
"572",59.275,0.4962795,-0.00854333333333327,0.496266604166667,-0.0107403627505726,6.69014101986827,15721
"573",59.3,0.496240666666667,-0.00854333333333332,0.4962475,-0.0107727718113772,6.69014101986827,15721
"574",59.325,0.49619863125,-0.00855662499999991,0.496215171875,-0.0107776331704977,6.68893174219508,15721
"575",59.35,0.4961597375,-0.00855662500000003,0.49618053125,-0.0107776331704977,6.68893174219508,15721
"576",59.375,0.49612084375,-0.00855662500000006,0.496145890625,-0.0107776331704977,6.68893174219506,15721
"577",59.4,0.496083466666667,-0.00855983333333329,0.49611125,-0.0107776331704977,6.68859342432998,15721
"578",59.425,0.496044558333333,-0.00855983333333333,0.496076609375,-0.0107776331704977,6.68859342432997,15721
"579",59.45,0.49600565,-0.00855983333333326,0.496042116666667,-0.0107779572611058,6.68859342432997,15721
"580",59.475,0.495966741666667,-0.00855983333333336,0.496007870454545,-0.0107784286656266,6.68859342432996,15721
"581",59.5,0.4959435,-0.00859430000000006,0.495973227272727,-0.0107784286656266,6.62253750056622,17498
"582",59.525,0.495922895833333,-0.00854791666666665,0.495938584090909,-0.0107784286656265,6.62593294981479,16358
"583",59.55,0.495884041666667,-0.0085479166666667,0.495903940909091,-0.0107784286656266,6.62593294981479,16358
"584",59.575,0.495847175,-0.00853050000000019,0.495869297727273,-0.0107784286656266,6.62620365947783,16358
"585",59.6,0.4958084,-0.00853049999999995,0.4958396,-0.0107844390732666,6.62620365947781,16358
"586",59.625,0.49576803125,-0.00850712499999995,0.495808025,-0.0107945507002377,6.62740212738385,16358
"587",59.65,0.495730014285714,-0.00850614285714287,0.49577333,-0.0107945507002375,6.62743953770494,16358
"588",59.675,0.4956961,-0.00851400000000003,0.495738635,-0.0107945507002377,6.62703110117453,16358
"589",59.7,0.4956548,-0.00850299999999994,0.49570394,-0.0107945507002376,6.62755941076912,16358
"590",59.725,0.4956253875,-0.00849108333333338,0.495669245,-0.0107945507002375,6.62787000754146,16358
"591",59.75,0.495586791666667,-0.00849108333333328,0.49563725,-0.0108038845097497,6.62787000754147,16358
"592",59.775,0.495550052777778,-0.00848894444444448,0.4956247775,-0.0108575539144413,6.62791283845021,16358
"593",59.8,0.4955168,-0.00848283333333352,0.49558988,-0.0108575539144414,6.62792487105989,16358
"594",59.825,0.495482314285714,-0.00847314285714288,0.4955549825,-0.0108575539144414,6.62814794975458,16358
"595",59.85,0.4954438,-0.0084731428571429,0.4955022875,-0.0108136072279906,6.62814794975456,16358
"596",59.875,0.495420416666667,-0.00845166666666654,0.49546753125,-0.0108136072279907,6.62868226049984,16358
"597",59.9,0.49538395,-0.00843975000000004,0.495432775,-0.0108136072279905,6.62903827095271,16358
"598",59.925,0.4953455875,-0.00843974999999993,0.49539801875,-0.0108136072279907,6.62903827095271,16358
"599",59.95,0.49530865,-0.0084315000000001,0.49535945,-0.0108038845097493,6.62918429972346,16358
"600",59.975,0.495270325,-0.00843149999999999,0.495324725,-0.0108038845097496,6.62918429972346,16358
"601",60,0.495232,-0.00843150000000005,0.4952876,-0.0107945507002376,6.62918429972346,16358
"602",60.025,0.495193675,-0.00843150000000027,0.495252905,-0.0107945507002374,6.62918429972347,16358
"603",60.05,0.495159985714286,-0.00844014285714293,0.49521821,-0.0107945507002376,6.62902639722891,16358
"604",60.075,0.495147890625,-0.00840468749999997,0.495183515,-0.0107945507002374,6.62968336210729,16358
"605",60.1,0.4951096875,-0.00840468750000007,0.495150525,-0.0107902727042114,6.6296833621073,16358
"606",60.125,0.495084375,-0.00838750000000002,0.49511584375,-0.0107902727042114,6.63036151677735,16358
"607",60.15,0.49504625,-0.00838749999999996,0.4950811625,-0.0107902727042113,6.63036151677734,16358
"608",60.175,0.495008125,-0.00838749999999986,0.49504648125,-0.0107902727042115,6.63036151677734,16358
"609",60.2,0.4949856,-0.00836707142857147,0.4950118,-0.0107902727042114,6.631192466643,16358
"610",60.225,0.494947567857143,-0.00836707142857146,0.49497711875,-0.0107902727042114,6.63119246664299,16358
"611",60.25,0.494927041666667,-0.0083444166666667,0.4949424375,-0.0107902727042114,6.63174718690234,16358
"612",60.275,0.4948891125,-0.00834441666666673,0.494905955,-0.0107945507002375,6.63174718690234,16358
"613",60.3,0.49485532,-0.00835780000000003,0.494876675,-0.0108136072279907,6.63154986335912,16358
"614",60.325,0.494831295,-0.0083347,0.49484191875,-0.0108136072279906,6.63206421929206,16358
"615",60.35,0.49479341,-0.00833469999999989,0.49481922,-0.0108489979223888,6.63206421929206,16358
"616",60.375,0.494755525,-0.00833470000000003,0.4947872375,-0.0108575539144414,6.63206421929206,16358
"617",60.4,0.494752999999999,-0.00827750000000084,0.49475234,-0.0108575539144414,6.63359113417108,16358
"618",60.425,0.494731929166667,-0.00825091666666665,0.494736755,-0.0109158902238893,6.63452382098846,16358
"619",60.45,0.494694425,-0.00825091666666659,0.49470167,-0.0109158902238892,6.63452382098844,16358
"620",60.475,0.49465713125,-0.00825137499999991,0.494655714285714,-0.0109338911422331,6.63451843261148,16358
"621",60.5,0.4946265,-0.0082481666666667,0.494620571428571,-0.0109338911422332,6.70301511465527,18195
"622",60.525,0.494608113888889,-0.00822494444444445,0.494585428571429,-0.0109338911422331,6.63502148305157,16948
